Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
2013-02-23,08:59:09,-10.66,165.304,Earthquake,12.0,,423.0,5.9,MWW,,,22.1,,,0.85,USC000FC4P,US,US,US,Reviewed
2013-02-23,11:09:19,-8.467,127.467,Earthquake,20.0,,267.0,5.9,MWW,,,19.3,,,0.95,USC000FC5F,US,US,US,Reviewed
2013-02-23,14:31:04,-11.689,165.023,Earthquake,10.0,,240.0,5.6,MWW,,,40.8,,,0.82,USC000FC75,US,US,US,Reviewed
2013-02-24,20:54:04,-32.339,-178.051,Earthquake,10.0,,108.0,5.5,MWB,,,31.8,,,1.17,USC000FCKR,US,US,US,Reviewed
2013-02-25,07:23:56,36.844,139.245,Earthquake,10.0,,561.0,5.8,MWW,,,24.5,,,0.72,USC000FD56,US,US,US,Reviewed
2013-02-26,19:57:56,-21.503,-179.388,Earthquake,624.7,,481.0,5.7,MWW,,,31.0,,,0.93,USC000FDN6,US,US,US,Reviewed
2013-02-28,03:09:45,-17.721,167.338,Earthquake,18.0,,447.0,5.9,MWW,,,15.3,,,0.89,USC000FE8Q,US,US,US,Reviewed
2013-02-28,14:05:50,50.954,157.283,Earthquake,41.0,,531.0,6.9,MWW,,,20.7,,,0.94,USC000FEBI,US,US,US,Reviewed
2013-02-28,18:07:48,-10.892,165.921,Earthquake,39.0,,379.0,5.8,MWW,,,23.1,,,0.84,USC000FEE8,US,US,US,Reviewed
2013-03-01,12:53:51,50.895,157.453,Earthquake,33.0,,635.0,6.4,MWW,,,34.8,,,0.86,USC000FEWP,US,US,US,Reviewed
2013-03-01,13:20:50,50.958,157.408,Earthquake,29.0,,480.0,6.5,MWW,,,20.7,,,0.87,USC000FEWW,US,US,US,Reviewed
